player_id,footballer_id,footballer_name,Total played,Started,Minutes per game,Total minutes played,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Goals prevented,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Penalty goals,Penalty conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Expected Assists (xA),Touches per game,Big chances created,Key passes per game,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won (final third),Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Errors leading to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Average Sofascore Rating
441,441,Rui Pedro,19,14,60,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1141min,0.1,0.8,0.2,2,7%,0,0%,0/1,0%,01-Jun,0/9,1,0,0,0,3,0.87,30.2,2,0.7,18.8 (85%),8.2 (94%),10.8 (75%),0.8 (76%),0.8 (58%),0.2 (20%),0,0.3,0.2,0.2,2.2,0.3,0.3,0,0,0,0.5 (40%),1.6 (35%),1.5 (38%),0.2 (21%),6.9,0.3,0.8,0.1,0,5,0,0,6.73
442,442,Baran Sarka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,443,Joelson Fernandes,25,22,74,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,931min,0.1,1.5,0.6,1,5%,0,0%,0/2,0%,Feb-14,0/24,0,1,1,1,3,2.48,31.3,5,1,11.8 (84%),4.4 (90%),8.2 (65%),0.3 (47%),0.2 (36%),0.8 (24%),0,0.3,0.9,0.4,2.8,0.6,0.5,0,0,0,0.8 (32%),3.8 (42%),3.6 (44%),0.2 (22%),10,1.1,2,0.1,0,7,0,0,6.8
444,444,Rigoberto Rivas,7,4,49,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340min,0.1,0.9,0.4,2,17%,0,0%,0,0%,0/5,01-Jan,0,0,1,0,0,0,27.4,2,1.3,15.3 (84%),5.4 (97%),10.4 (71%),0.3 (67%),0.1 (50%),0.6 (29%),0,0,1,0.3,3.1,0.3,0.1,0,0,0,0.4 (43%),2.6 (50%),1.6 (48%),1.0 (54%),7,0.4,0.1,0.9,0,1,0,0,6.85
445,445,Bilal Boutobba,18,9,52,937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,187min,0.3,1,0.5,2,28%,0,0%,0,0%,03-Nov,02-Jul,0,5,0,0,0,2.3,33.2,3,1.3,15.7 (81%),6.2 (87%),10.3 (69%),0.3 (27%),0.6 (45%),0.7 (30%),0,0.4,0.5,0.3,3.3,0.7,0.3,0,0,0,1.3 (53%),3.3 (45%),2.9 (50%),0.4 (26%),9.5,0.5,1.1,0.1,0,0,0,0,6.9
446,446,Funsho Bamgboye,23,11,48,1101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,551min,0.1,0.8,0.3,4,11%,0,0%,0,0%,Feb-16,0/3,1,0,1,0,0,1.03,24.5,1,0.7,7.7 (65%),2.5 (78%),5.5 (55%),0.2 (33%),0.2 (31%),0.3 (21%),0,0.4,1.3,0.5,2.8,0.5,0.5,0,0,0,0.5 (24%),3.0 (39%),2.6 (40%),0.5 (34%),9.4,1,0.7,0.3,0,4,0,0,6.66
447,447,Vincent Aboubakar,21,19,80,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,279min,0.3,2.1,0.9,3,13%,0,0,0/2,0%,Jun-36,0/9,2,0,4,0,2,1.4,31.5,1,0.9,14.3 (78%),4.7 (92%),9.7 (72%),0.4 (69%),0.9 (55%),0.0 (50%),0,0,0.1,0.1,2.1,0.1,1.2,0,0,0,1.1 (57%),3.6 (31%),2.0 (36%),1.6 (26%),9.6,0.7,0.8,0.5,0,3,0,0,6.84
448,448,Carlos Strandberg,20,8,38,769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,256min,0.2,1.2,0.5,4,13%,0,0,0,0%,Mar-19,0/4,0,3,0,0,0,0.64,12.9,0,0.4,4.9 (68%),1.2 (77%),3.8 (63%),0.1 (67%),0.1 (33%),0.1 (17%),0,0,0.1,0.2,0.7,0.1,0.4,0,0,0,0.4 (62%),2.0 (41%),0.7 (35%),1.3 (45%),4.5,0.5,0.2,0.2,0,0,0,0,6.77
449,449,Jonathan Okoronkwo,7,0,18,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,3,0%,0,0%,0,0%,0/4,0,0,0,0,0,0,0.02,10,0,0.1,3.6 (83%),1.3 (100%),2.3 (70%),0.0 (0%),0.0 (0%),0.0 (0%),0,0,0.1,0,0.7,0,0.1,0,0,0,0.6 (57%),1.7 (50%),1.4 (50%),0.3 (50%),3,0.3,0.7,0.1,0,1,0,0,6.5
450,450,Sokratis Dioudis,16,15,84,1344,1,1.4,01-Mar,2.5 (65%),0.5 (100%),22,21,1,40,-2.06,25,14,2,10,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.01,35.6,0,0,17.1 (63%),13.8 (87%),3.4 (30%),6.1 (39%),1.9 (61%),0.0 (0%),3,0,0,0,7.8,0,0.7,1,0,3,0.1 (100%),0.4 (67%),0.2 (50%),0.2 (100%),10.1,0.2,0.1,0,7.3,1,0,0,6.95
